"lat","lng","color","name","sid","nid"
"28.7131722","77.2093510","#8def90","common_lime","Lkh5-E6mmPo","i75"
"18.4927466","73.1833148","#e4fc5d","married_crimson","VtvBcLKXWRu","i76"
"29.5422997","75.0253723","#e3f274","roasted_turquoise","u5q0TVa1cul","i77"
"28.5141275","77.0669998","#8fb1e8","inner_blue","9GAwJmBIRVZ","i78"
"30.8749633","75.8860283","#b116e5","remarkable_white","4_aT8ZTLSRp","i79"
"12.9659484","79.1536767","#7cef82","similar_plum","Ikqbfm-teO6","i80"
"17.4411803","78.4502773","#002b59","calm_apricot","XJ7UC73F_aP","i81"
"14.8771101","74.1154412","#de86f4","green_lime","JfAhFDMjC5U","i82"
"18.4926617","73.1829733","#e57a10","firm_plum","-9T9st40s-h","i83"
"12.9903927","77.9294580","#c5f28a","friendly_white","oZ5RDOB43Ap","i84"
"10.0146282","76.3694591","#2d5dc4","quiet_green","O8J1eYU8brQ","i85"
"22.5918254","88.3590594","#4ff232","popular_harlequin","sdOqZXnGlk5","i86"
"30.4384931","77.6235887","#489ae2","thin_purple","OtIKGhOaRuk","i87"
"19.0969811","73.0126700","#0b1d70","amused_apricot","svurgY-Dhxg","i88"
"28.6262861","77.2894127","#14e274","forward_silver","43-uaW1Wiao","i89"
"23.2355733","77.4383467","#38d166","orange_green","GiJO0uiCn05","i90"
"19.1461676","72.8458545","#9e9ef7","compulsory_peach","wPkJjg6-cOZ","i91"
"28.6842750","77.2949174","#f972d5","random_olive","HBDCOni5eXv","i92"
"22.9526238","76.0385199","#d68c24","deep_black","V4jBsr2CBpI","i93"
"28.7455890","77.2951058","#a4f9eb","prior_brown","HVySv96SeGU","i94"
"19.0444877","72.8562306","#ed6e07","calm_jade","CDLE4gOsyMa","i95"
"21.6028316","71.2212526","#989bf9","liquid_amethyst","zyzgPRMOb0P","i96"
"28.7131503","77.2093445","#ea23d0","thirsty_moccasin","z5ZBhuMEpTz","i97"
"19.3305780","84.7968082","#5b95cc","architectural_maroon","Wood7iai5r0","i98"
