"12.9241034","79.1321869","#2dce55","heavy_red","eEnuQuwo9S3g4","i27999"
"12.9482776","80.1967008","#3c2cea","magnificent_scarlet","XT4mmV6-_cNMe","i28000"
"16.7962601","78.1420123","#ffd0bc","literary_magenta","9e3EHT4gDnSt7","i28001"
"12.7768173","77.9949481","#db252b","neutral_ivory","ttZMQU6GLnr3C","i28002"
"21.1742530","72.8753934","#b6f492","devoted_coffee","YSdjYJOkDF8LD","i28003"
"12.3574334","76.5774370","#21b7a6","agreeable_black","JwveFo7wweCi_","i28004"
"18.5208092","73.9408674","#32b3ba","unfair_lime","kCpylVFRytkfX","i28005"
"9.3610166","76.6053471","#b3ddef","presidential_yellow","2KE5cAam0EvjU","i28006"
"12.9328878","77.7007482","#b2ffc5","significant_amber","Vs1vvRFwEhtGA","i28007"
"18.7331629","73.8586627","#0fe504","fantastic_pink","WGAlzOo5eTlXw","i28008"
"21.2017350","72.8686950","#a01626","mere_violet","YGbKTcrtan5C_","i28009"
"19.6116543","75.7960026","#5bd84e","sporting_indigo","-rsPT5uTHLKUK","i28010"
"18.6830037","73.0343583","#abfcda","wild_gold","3j6rIqrpXXhwd","i28011"
"28.5872100","77.2554667","#0c6e8c","ideal_maroon","Zaj6QVrSVqanW","i28012"
"21.1787600","72.8640600","#b27c31","plain_plum","3Vy6Rn1j5SZ5D","i28013"
"18.7753677","73.8719398","#ea3aaf","sufficient_rose","h8ETOrWgJLPXE","i28014"
"28.4669217","77.3128780","#fbbafc","afraid_black","WZKMyjnVhTjtr","i28015"
"13.0492671","77.5769452","#f2daa7","courageous_beige","2vEuuVJbfjS09","i28016"
"28.0134412","78.1361710","#06824c","inquisitive_rose","HgsZB4YZWkeh4","i28017"
"16.3152258","77.3571414","#300a87","successful_coffee","QumQTC1uEAXSC","i28018"
"21.1756483","72.8679050","#95b72d","anonymous_harlequin","nMd8z1fVLLL4N","i28019"
"18.7631900","79.4713000","#44f470","swiss_beige","ERc7jsK7Ijt7g","i28020"
"19.0927209","82.1792878","#e09872","simple_lavender","fVCMbY4LNrN3q","i28021"
"20.9356991","78.9351422","#eaa39d","dreadful_blue","FO9nthSSO9vFf","i28022"
"22.8558231","88.3224378","#c0d310","rising_white","6rzDVpCqVb-Ls","i28023"
"13.1249908","77.6118851","#45e088","official_gray","9vBQEJwBqjI1-","i28024"
"28.9673050","77.7315083","#191f93","pleased_black","0axbQNl4fvkfJ","i28025"
"30.8200128","76.7402129","#fdff91","unlikely_lavender","mywzJIk2e7Am5","i28026"
"28.2533067","77.6006183","#840d02","dull_maroon","BsErxG9p9QKZO","i28027"
"21.1727200","72.8695283","#d8a2f2","cultural_harlequin","jcKAC4mFGQjfo","i28028"
"19.3569983","72.8851633","#4c3ad8","careful_apricot","gLnPGHyajPtHn","i28029"
"18.7707386","73.2306802","#7900d1","frightened_cyan","PsnbN17KK0h1j","i28030"
"13.2598120","77.5488600","#30f2b4","controlled_cyan","_wLScj79q9O1U","i28031"
"18.9043288","73.1998754","#eae677","preliminary_tan","zz5FoB7GsblHR","i28032"
"29.3979357","76.9990487","#efb89e","famous_blue","qHfLcW_YQJSdB","i28033"
"18.8503670","73.8865612","#ff21e8","many_amethyst","2qKATQ2yWkqp5","i28034"
"13.7333728","80.1636840","#13a51d","marginal_coffee","XtmlFKUDE-Bo3","i28035"
"21.1734824","72.8698249","#54f2a3","absolute_lavender","RZxXWYuhwCalZ","i28036"
"28.3581242","76.9143042","#b76bea","unfortunate_silver","pPAKutL4x_fTT","i28037"
"23.0113196","72.5298591","#0754ef","fresh_violet","GdIh-7cKPkJd0","i28038"
"28.5354210","77.0507172","#ae3ed1","spiritual_magenta","12Q-3yT4kTh4Y","i28039"
"12.9951481","79.9891014","#1fe814","mysterious_magenta","0nPle-Qc6BNgB","i28040"
